Subject,Test_missing_vertices,Retest_missing_vertices,Complete_test,Complete_retest,Complete_both
103818,0,9,True,False,False
105923,22,23,False,False,False
111312,1,4,False,False,False
114823,16,28,False,False,False
115320,31,26,False,False,False
122317,10,20,False,False,False
125525,13,10,False,False,False
130518,1,14,False,False,False
135528,12,15,False,False,False
137128,3,9,False,False,False
139839,13,13,False,False,False
143325,3,0,False,True,False
144226,2,1,False,False,False
146129,25,31,False,False,False
149337,47,28,False,False,False
149741,13,18,False,False,False
151526,12,4,False,False,False
158035,15,12,False,False,False
169343,5,13,False,False,False
172332,12,15,False,False,False
175439,5,15,False,False,False
177746,17,13,False,False,False
185442,32,23,False,False,False
187547,11,11,False,False,False
192439,46,29,False,False,False
194140,16,7,False,False,False
195041,27,10,False,False,False
200109,41,57,False,False,False
200614,8,12,False,False,False
204521,26,7,False,False,False
250427,8,9,False,False,False
287248,35,20,False,False,False
433839,7,6,False,False,False
562345,14,10,False,False,False
599671,10,17,False,False,False
601127,45,45,False,False,False
660951,25,21,False,False,False
662551,36,34,False,False,False
783462,14,18,False,False,False
859671,38,26,False,False,False
861456,16,22,False,False,False
877168,6,21,False,False,False
917255,49,36,False,False,False
