Subject,Network,Vertices,Test_mean,Retest_mean
103818,Visual,8401,347.5419340566175,365.7215961991655
103818,Somatomotor,12411,279.72319242843025,302.1333241741256
103818,DorsalAttention,6555,236.5595694034905,263.2257150436157
103818,VentralAttention,7337,348.662174376152,366.71779785530595
103818,Limbic,4196,368.547820030336,365.6898532536709
103818,Frontoparietal,7556,307.5079715682313,310.9022870162229
103818,DefaultMode,12075,324.0673269166808,329.3165451656365
105923,Visual,8401,299.1800566270172,326.89978049684316
105923,Somatomotor,12411,241.44082634655132,251.73931910461275
105923,DorsalAttention,6555,199.71953963593054,209.98689009225333
105923,VentralAttention,7337,302.0481124093881,312.18081403620255
105923,Limbic,4196,370.4550836289461,383.32942484007356
105923,Frontoparietal,7556,280.20156541946784,299.0945807486635
105923,DefaultMode,12075,290.6328282774083,306.50813362924345
111312,Visual,8401,325.2524775598265,305.55103535488126
111312,Somatomotor,12411,297.1137405689348,277.24515729607106
111312,DorsalAttention,6555,251.01346363850354,241.52391277694412
111312,VentralAttention,7337,374.606152463125,356.145771394199
111312,Limbic,4196,382.02152764339695,347.9273474637601
111312,Frontoparietal,7556,347.7654664356157,331.01070457675615
111312,DefaultMode,12075,358.6398405402837,327.0706985468577
114823,Visual,8401,314.59931539075376,312.3022878278192
114823,Somatomotor,12411,272.1692957851603,259.1090014129361
114823,DorsalAttention,6555,241.97863290235344,233.5840188900363
114823,VentralAttention,7337,324.12246564761386,327.4721265524825
114823,Limbic,4196,344.46581425343453,364.74158980028886
114823,Frontoparietal,7556,302.87338272991354,317.06252551176624
114823,DefaultMode,12075,301.7920711299261,324.6278766833186
115320,Visual,8401,345.16211044843703,335.8079902722486
115320,Somatomotor,12411,258.57369910530554,214.70836045146325
115320,DorsalAttention,6555,274.50244034942466,244.54103708041706
115320,VentralAttention,7337,331.3272736481657,312.7563078943871
115320,Limbic,4196,335.64264330999015,357.15311350526497
115320,Frontoparietal,7556,328.2812427946851,309.1302131321646
115320,DefaultMode,12075,349.63973232924553,341.42812302414353
122317,Visual,8401,317.92327963864574,332.8587694140843
122317,Somatomotor,12411,295.3181274023095,283.11466873017724
122317,DorsalAttention,6555,251.8536708468067,236.45218963739438
122317,VentralAttention,7337,359.05816078679965,330.99832037272824
122317,Limbic,4196,344.587569133323,336.3884398512191
122317,Frontoparietal,7556,309.94006382491364,288.5786138285871
122317,DefaultMode,12075,334.63279992776876,312.385496563838
125525,Visual,8401,335.0110571204786,288.6169296290077
125525,Somatomotor,12411,318.1458514088081,285.46939958115917
125525,DorsalAttention,6555,280.90601557448656,247.8856890401251
125525,VentralAttention,7337,360.188732960901,352.14469264663813
125525,Limbic,4196,306.26339044037815,319.14752581103596
125525,Frontoparietal,7556,320.0930481461888,316.3145407943766
125525,DefaultMode,12075,323.4420367032981,328.16268863654284
130518,Visual,8401,406.4303476129057,437.26408005895934
130518,Somatomotor,12411,343.2231158049905,332.3111173847836
130518,DorsalAttention,6555,305.2899879298439,302.0753117145972
130518,VentralAttention,7337,422.85788342581304,407.98407351361385
130518,Limbic,4196,410.3465438202748,417.1711304162726
130518,Frontoparietal,7556,385.1306855932249,374.9190406880094
130518,DefaultMode,12075,379.540292724387,373.62606045423246
135528,Visual,8401,324.006963591138,353.3974496718603
135528,Somatomotor,12411,261.7654913346799,263.85319867778406
135528,DorsalAttention,6555,246.31618824019677,241.16613365307188
135528,VentralAttention,7337,312.94537028873816,329.60994949434405
135528,Limbic,4196,336.18240061590365,357.5665547824954
135528,Frontoparietal,7556,307.452911151787,320.3200980419201
135528,DefaultMode,12075,313.2858181269865,316.76883067794
137128,Visual,8401,318.44209527668534,273.90893697812436
137128,Somatomotor,12411,280.2233979530448,291.79679768929384
137128,DorsalAttention,6555,243.92563142405496,255.54662234192128
137128,VentralAttention,7337,342.71486616609076,320.3146121183793
137128,Limbic,4196,361.2817968381722,314.5650630392435
137128,Frontoparietal,7556,346.7884408386376,312.43419582898053
137128,DefaultMode,12075,335.73930992300217,303.749938655877
139839,Visual,8401,271.1214625963979,259.3918481027512
139839,Somatomotor,12411,216.07670000294675,202.1574570180407
139839,DorsalAttention,6555,213.3989985636952,201.0580950086079
139839,VentralAttention,7337,317.0917469756194,305.4717065551974
139839,Limbic,4196,344.5638195971458,337.4121877730405
139839,Frontoparietal,7556,284.54493928649805,284.3517676716368
139839,DefaultMode,12075,305.61814505409797,298.11270405581774
143325,Visual,8401,350.15515744818094,365.2072571458284
143325,Somatomotor,12411,310.41828518268824,313.32522522149696
143325,DorsalAttention,6555,271.9811727004411,269.5573690965829
143325,VentralAttention,7337,362.7016234827477,379.7362122376478
143325,Limbic,4196,346.26895489979063,373.2683403953356
143325,Frontoparietal,7556,316.3368004042135,328.10403643719667
143325,DefaultMode,12075,344.0267568680046,357.43330354678704
144226,Visual,8401,340.3512816354783,272.010290528252
144226,Somatomotor,12411,311.2595617318747,247.87075308594655
144226,DorsalAttention,6555,282.18437400369766,229.3222758382627
144226,VentralAttention,7337,386.6263185386455,342.23547316071966
144226,Limbic,4196,367.9066731403371,352.1852437793015
144226,Frontoparietal,7556,363.4661395586376,322.66030922360113
144226,DefaultMode,12075,362.1256483854369,321.06120017989576
146129,Visual,8401,372.2807563954308,372.89061709361874
146129,Somatomotor,12411,293.5884742395642,316.9710246949737
146129,DorsalAttention,6555,253.79121168017824,276.9400192836326
146129,VentralAttention,7337,368.4629673182485,392.1745554474405
146129,Limbic,4196,373.1892315200393,387.0287792406584
146129,Frontoparietal,7556,318.8345225986947,344.7177877511973
146129,DefaultMode,12075,343.951099353728,362.06452441529666
149337,Visual,8401,288.9762043509439,293.8018323744746
149337,Somatomotor,12411,301.6882586799998,281.69222296159296
149337,DorsalAttention,6555,263.85184899278494,244.14700688551983
149337,VentralAttention,7337,384.7705947826064,362.77051379788844
149337,Limbic,4196,325.3327576406533,324.1492503281699
149337,Frontoparietal,7556,351.7496370716408,319.1608108556872
149337,DefaultMode,12075,346.1167861900551,332.1380601167422
149741,Visual,8401,309.2675830473952,289.96079400017146
149741,Somatomotor,12411,243.93868214489902,242.2387231690466
149741,DorsalAttention,6555,219.4928070021803,204.27433762888614
149741,VentralAttention,7337,297.11406781697156,299.06839899648287
149741,Limbic,4196,335.22686795268385,343.5711748242293
149741,Frontoparietal,7556,268.9204341440115,278.17154889285973
149741,DefaultMode,12075,293.8902767950654,289.73005848317905
151526,Visual,8401,401.6054588184373,404.63113443279053
151526,Somatomotor,12411,401.56937084546854,335.81630640089077
151526,DorsalAttention,6555,319.5916124647942,284.1234741117825
151526,VentralAttention,7337,423.84849386122926,393.51137440507154
151526,Limbic,4196,399.8471995692099,440.39118387043106
151526,Frontoparietal,7556,368.621959183442,354.0299123485068
151526,DefaultMode,12075,402.3880330285273,388.67294051312683
158035,Visual,8401,256.8175565452058,227.00777531237964
158035,Somatomotor,12411,234.25875090261803,250.023172049814
158035,DorsalAttention,6555,213.03524378377185,205.31269319535755
158035,VentralAttention,7337,302.1091982844221,288.48695674364353
158035,Limbic,4196,289.8291997420541,277.2313590367483
158035,Frontoparietal,7556,283.7577794140208,275.5103302123119
158035,DefaultMode,12075,290.3135208570939,278.8895708956827
169343,Visual,8401,330.10641465779076,341.4801922332731
169343,Somatomotor,12411,247.68585620450125,237.70640793258548
169343,DorsalAttention,6555,241.4765936716925,240.44340826597585
169343,VentralAttention,7337,318.32635884975826,318.04445041855627
169343,Limbic,4196,302.2679296738202,351.76268717860745
169343,Frontoparietal,7556,283.8171843593874,288.80110928670257
169343,DefaultMode,12075,292.2856556334347,308.0254264277241
172332,Visual,8401,341.6423339298858,347.40923473429444
172332,Somatomotor,12411,262.6883178027359,283.8516005652138
172332,DorsalAttention,6555,282.8499041873749,252.63003224038968
172332,VentralAttention,7337,341.4821722210794,352.35664067678465
172332,Limbic,4196,303.19860550829475,368.2202798751689
172332,Frontoparietal,7556,313.7150041894809,303.5523553225273
172332,DefaultMode,12075,315.01695753769667,324.9298594321178
175439,Visual,8401,337.39650448332685,386.57799074246105
175439,Somatomotor,12411,254.12936318440322,363.3364720383348
175439,DorsalAttention,6555,263.72861786936187,317.7185631974063
175439,VentralAttention,7337,308.13335416725454,407.92446241187713
175439,Limbic,4196,324.8119449215081,370.8605587573452
175439,Frontoparietal,7556,335.0988556400943,378.56372348589514
175439,DefaultMode,12075,350.6634643943929,396.0232337443371
177746,Visual,8401,258.8883793824855,254.2887976071676
177746,Somatomotor,12411,231.8963781695988,224.29794401396734
177746,DorsalAttention,6555,205.3269621675731,197.49619026364542
177746,VentralAttention,7337,292.241500806659,285.9525644095178
177746,Limbic,4196,264.5474597846056,288.4102448676507
177746,Frontoparietal,7556,272.95769284249866,272.71083420833753
177746,DefaultMode,12075,278.3938554916224,282.2582895939987
185442,Visual,8401,300.04160221746,333.58306787944974
185442,Somatomotor,12411,236.3968888656915,268.9607249256798
185442,DorsalAttention,6555,208.11940134777356,217.26827181795005
185442,VentralAttention,7337,328.2485793146074,340.661151565192
185442,Limbic,4196,340.09309068292845,375.7539534095485
185442,Frontoparietal,7556,287.05635626923555,293.33047224037733
185442,DefaultMode,12075,306.0175521540987,311.6562258923018
187547,Visual,8401,297.9489753595095,305.89606490814606
187547,Somatomotor,12411,242.50647222727775,253.29581568890617
187547,DorsalAttention,6555,219.990472879999,227.06252847608948
187547,VentralAttention,7337,310.96029392724404,309.48180053740055
187547,Limbic,4196,327.2299874274285,337.8793780558375
187547,Frontoparietal,7556,278.8992499881096,286.9804674434308
187547,DefaultMode,12075,294.61762989935784,302.31106396541514
192439,Visual,8401,305.99604018798016,279.83960333189475
192439,Somatomotor,12411,283.77653622736756,265.0727218198849
192439,DorsalAttention,6555,239.8249031200948,224.70492217891646
192439,VentralAttention,7337,351.29302275991574,322.911741811215
192439,Limbic,4196,302.48376815066496,301.76822488269744
192439,Frontoparietal,7556,295.3334249210711,288.9931544328632
192439,DefaultMode,12075,297.3976494312484,294.06682928548696
194140,Visual,8401,398.73983844929177,446.54516390689344
194140,Somatomotor,12411,322.4537846632329,361.7134318442034
194140,DorsalAttention,6555,316.73583810953215,337.1425368366489
194140,VentralAttention,7337,364.67161902377893,416.0126996881975
194140,Limbic,4196,317.5250768253205,392.0915142286077
194140,Frontoparietal,7556,345.16038791258666,366.8223991111323
194140,DefaultMode,12075,349.6437964686618,389.00945154541523
195041,Visual,8401,269.26941972516175,348.48863784904466
195041,Somatomotor,12411,222.37502284269368,337.4446019243439
195041,DorsalAttention,6555,253.82121613340283,281.26046288273596
195041,VentralAttention,7337,349.20114754350175,405.1618766124362
195041,Limbic,4196,312.7669474149909,387.9966489295686
195041,Frontoparietal,7556,333.69104815956774,372.19723945336904
195041,DefaultMode,12075,334.3121840762073,382.0896720219646
200109,Visual,8401,261.946956500537,261.47094506101246
200109,Somatomotor,12411,213.87415604610194,227.56811682744373
200109,DorsalAttention,6555,194.46212576450984,205.99154143048148
200109,VentralAttention,7337,297.0382687029371,297.3848924172807
200109,Limbic,4196,326.3736423298588,303.17775138027696
200109,Frontoparietal,7556,273.44737234058795,291.1786791739355
200109,DefaultMode,12075,285.6475671799959,283.0852603316554
200614,Visual,8401,359.880194183702,352.78526072938615
200614,Somatomotor,12411,267.86391254966316,281.8043711023513
200614,DorsalAttention,6555,253.41107184601412,249.63009782757675
200614,VentralAttention,7337,317.40643593802577,344.28378655063335
200614,Limbic,4196,358.0263856967897,386.7078191845598
200614,Frontoparietal,7556,313.2143062261289,331.9988211202142
200614,DefaultMode,12075,318.324120834276,333.60323797203995
204521,Visual,8401,271.70342711329704,335.4410251290458
