subject_id,pearson_r,spearman_rho,n_valid_vertices
103818,0.9158,0.928,59403
105923,0.9152,0.937,59368
111312,0.9076,0.9265,59407
114823,0.8914,0.8988,59372
115320,0.8847,0.8865,59367
122317,0.9247,0.9196,59383
125525,0.8235,0.8266,59391
130518,0.8969,0.9009,59397
135528,0.8933,0.8996,59385
137128,0.8206,0.8171,59400
139839,0.9188,0.9317,59386
143325,0.9121,0.9214,59409
144226,0.8606,0.8849,59409
146129,0.929,0.9366,59358
149337,0.887,0.8963,59340
149741,0.8962,0.9225,59381
151526,0.8452,0.8624,59396
158035,0.8886,0.9047,59387
169343,0.8691,0.8718,59394
172332,0.8402,0.8304,59385
175439,0.7655,0.7504,59392
177746,0.8946,0.9148,59383
185442,0.9147,0.923,59359
187547,0.9188,0.9303,59391
192439,0.8885,0.9,59346
194140,0.8297,0.8344,59391
195041,0.7905,0.773,59378
200109,0.9013,0.9067,59332
200614,0.8977,0.9136,59392
204521,0.8121,0.8078,59379
250427,0.895,0.9113,59397
287248,0.9023,0.9189,59357
433839,0.8568,0.8663,59399
562345,0.9076,0.9188,59389
599671,0.9359,0.949,59387
601127,0.9165,0.9204,59329
660951,0.8828,0.89,59366
662551,0.8782,0.8891,59346
783462,0.909,0.9307,59380
859671,0.8007,0.7727,59350
861456,0.9009,0.906,59374
877168,0.7992,0.8057,59385
917255,0.8971,0.9079,59339
